"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"3811120","25006722514006421000000000U7","EL BROCHETAS TAQUERIA",,"722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","BOULEVARD","DOCTOR ENRIQUE CABRERA","CALLE","REPUBLICA DE GUATEMALA","PRIVADA","PRIVADA DE GUATEMALA","BOULEVARD","OBRERO MUNDIAL","2146",,,,"1",,"COLONIA","LOS OLIVOS 2",,,,"80025","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","5715","026",,,,"Fijo","24.82485559","-107.41430937","2014-12"
"3816919","25006722514003072001000000U1","JR TAQUERIA",,"722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","CALLE","FRANCISCO ZARCO","AVENIDA","IGNACIO ALDAMA","AVENIDA","JESUS G. ANDRADE","CALLE","CONSTITUCIÓN","0","SN",,,"13",,"COLONIA","MIGUEL ALEMAN",,,,"80200","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","0220","009","6672070750",,,"Fijo","24.7976646","-107.39065995","2014-12"
"7650067","25006722514008372100000000U0","RAUL TAQUERIA",,"722514","Restaurantes con servicio de preparación de tacos y tortas","6 a 10 personas","CALLE","COTOPAXI","BOULEVARD","CIRCUITO INTERIOR","AVENIDA","AVENIDA DE LA FOCA","AVENIDA","AVENIDA DE LA FOCA","3882","2",,,,,"FRACCIONAMIENTO","VILLAS VICTORIA",,,,"80058","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","6003","003","6731205477",,,"Fijo","24.81747382","-107.43481602","2019-11"
"3853341","25006722212005871000000000U5","SUPER TAQUERIA JUANITO",,"722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","BOULEVARD","NUEVO HORIZONTE","CALLE","CALLE DEL PRESAGIO","CALLE","CALLE DE LA VIRTUD","AVENIDA","AVENIDA DEL TRIUNFO",,"SN",,,,,"COLONIA","HORIZONTES",,,,"80054","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","4327","016",,,,"Semifijo","24.81360205","-107.42856841","2010-07"
"9347584","25006722514013951000000000U4","TACOS PADILLA","TAQUERIA PADILLA ","722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","CALLE","GENERAL ANGEL FLORES","AVENIDA","GENERAL DOMINGO RUBI","AVENIDA","GENERAL JUAN CARRASCO","CALLE","MIGUEL HIDALGO Y COSTILLA","148",,,"1",,,"COLONIA","CENTRO","MERCADO PUBLICO","MERCADO MUNICIPAL","LOCAL 7",,"25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3390","024",,,,"Fijo","24.80868978","-107.39625326","2021-05"
"3816861","25006722514001501000000000U1","TAQUERIA",,"722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","AVENIDA","JESUS G. ANDRADE","BOULEVARD","GABRIEL LEYVA SOLANO","CALLE","GENERAL JUAN JOSE RIOS","AVENIDA","DOCTOR RUPERTO L. PALIZA",,"SN",,,,,"COLONIA","MIGUEL ALEMAN",,,,"80200","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","0220","049",,,,"Semifijo","24.80214328","-107.39163792","2014-12"
"3821008","25006722514000531000000000U9","TAQUERIA",,"722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","AVENIDA","CONSTITUYENTE HILARIO MEDINA","CALLE","GENERAL PABLO MACIAS VALENZUELA","CALLE","CONSTITUYENTE ALBERTO TERRONES BENITEZ","AVENIDA","GENERAL CRUZ MEDINA","3735",,,,"0",,"COLONIA","ESTHELA ORTIZ DE TOLEDO",,,,"80190","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","1746","041",,,,"Fijo","24.7625026","-107.42350485","2014-12"
"3815846","25006722514002471000000000U6","TAQUERIA",,"722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","CALLE","MIGUEL HIDALGO Y COSTILLA","CALZADA","CALZADA DE LA LUNA","CALLE","CALLE AL BARRIO","CALLE","UMBRIEL","0","SN",,,"0",,"COLONIA","VILLA SATELITE",,,,"80088","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","1619","001",,,,"Fijo","24.80631277","-107.35410636","2014-12"
"3836767","25006465311002421000000000U3","TAQUERIA",,"722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","CALLE","CONSTITUCION","AVENIDA","30 DE SEPTIEMBRE","AVENIDA","30 DE OCTUBRE","CALLE","GENERAL JOSÉ AGUILAR BARRAZA","1109",,,,"0",,"COLONIA","BENITO JUAREZ",,,,"80210","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3494","004","6677120712",,,"Fijo","24.79998188","-107.38120347","2010-07"
"3836777","25006722212009851000000000U3","TAQUERIA",,"722514","Restaurantes con servicio de preparación de tacos y tortas","0 a 5 personas","CALLE","CONSTITUCION","AVENIDA","VENUSTIANO CARRANZA","AVENIDA","24 DE OCTUBRE","CALLE","GENERAL JOSÉ AGUILAR BARRAZA","1027",,,,"0",,"COLONIA","BENITO JUAREZ",,,,"80210","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3494","024",,,,"Fijo","24.79991249","-107.38262634","2010-07"
